GROUP,FAMILY,SPECIES,FEED MODE ,SIZE,MOBILITY,BIOTURBATION,STATION,TREATMENT,CORE,LAYER,COUNTS,ABUNDANCE,BIOMASS,Dry Weight_mg,Dry Weight_ug,Biomass_analysed_mg,Biomass_analysed_ug,n_analysed,Biomass.mg.C.m2,Biomass.mg.N.m2,N_µg,15N_at.percentage,δ15N_air,C_µg,δ13C_VPDB,Formalin.corrected_δ13C_VPDB,13C_at.percentage,Core area_m2,Actual_C.percentage,Actual_N.percentage,Sample_weight_mgC,Sample_weight_mgN,Sample_weight_ugC,Sample_weight_ugN,Sample_weight_ugC/m2,Sample_weight_ugN/m2,Sample_weight_mgCm2,Sample_weight_mgN/m2,Background_N_µg,Background_15N_at.percentage,Background_δ15N_air,Background_C_µg,Background_δ13C_VPDB,Background_Formalin.corrected_δ13C_VPDB,Background_13C_at.percentage,Δδ13C,R 13C sample,R 13C control,F 13C sample,F 13C control ,E 13C,I 13C_ugC,Algal labeling factor,I total_ugC,I.total..ug.C.m2.,I.total..mg.C.m2.,ug.C.mg.1,,Δδ13N,R 13N sample,R 13N control,F 13N sample,F 13N control ,E 13N,I 13C_ugN,Algal labeling factor,I total_ugN,I.total..ug.N.m2.,I.total..mg.N.m2.,ug.N.mg.1
Polychaeta,Paraonidae,Levinsenia sp.,SDF,,,,ST435,IA,IA3,5-10cm,1,333.333,49.333,0.148,148,,0,,20.922,2.856,,,,,,,,0.003,0.424,0.058,0.063,0.009,62.766,8.569,20921.901,2856.221,20.922,2.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Philomedidae,Philomedes sp.,SDF,,,,ST435,IA,IA3,0-5cm,1,333.333,298,0.894,894,0.894,894,1,80.26,11.419,34.256,0.372,16.781,240.781,-25.397,-24.397,1.078,0.003,0.269,0.038,0.241,0.034,240.781,34.256,80260.356,11418.662,80.26,11.419,67.413,0.371,13.952,470.242,-26.29,-25.29,1.077,0.893,0.011,0.011,0.011,0.011,0,0.002,0.61,0.004,1.292,0.001,0.016,,2.829,0.004,0.004,0.004,0.004,0,0,0.365,0.001,0.323,0,0.028
Sipuncula,Sipuncula,,SDF,,,,ST435,IA,IA3,0-5cm,1,333.333,98.333,0.295,295,0.295,295,1,15.631,3.479,10.438,0.372,16.502,46.894,-24.377,-23.377,1.079,0.003,0.159,0.035,0.047,0.01,46.894,10.438,15631.469,3479.434,15.631,3.479,16.376,0.372,14.861,73.922,-25.061,-24.061,1.078,0.684,0.011,0.011,0.011,0.011,0,0,0.61,0.001,0.193,0,0.012,,1.641,0.004,0.004,0.004,0.004,0,0,0.365,0,0.057,0,0.016
Polychaeta,Ampharetidae ,,SDF,,,,ST435,IA,IA4,0-5cm,1,333.333,46.333,0.139,139,0.139,139,1,10.885,1.608,4.825,0.386,53.073,32.654,-9.887,-8.887,1.095,0.003,0.235,0.035,0.033,0.005,32.654,4.825,10884.712,1608.463,10.885,1.608,3.407,0.37,9.292,22.18,-26.408,-25.408,1.077,16.521,0.011,0.011,0.011,0.011,0,0.006,0.61,0.01,3.24,0.003,0.298,,43.781,0.004,0.004,0.004,0.004,0,0.001,0.365,0.002,0.704,0.001,0.438
Caudofoveata,Chaetodermatidae,Chaetoderma,P/S,,,,ST435,IA,IA4,0-5cm,1,333.333,475.667,1.427,1427,1.427,1427,1,90.726,13.344,40.033,0.368,4.749,272.179,-20.937,-19.937,1.083,0.003,0.191,0.028,0.272,0.04,272.179,40.033,90726.233,13344.425,90.726,13.344,65.711,0.372,15.157,453.821,-18.79,-17.79,1.085,-2.147,0.011,0.011,0.011,0.011,0,-0.006,0.61,-0.011,-3.51,-0.004,-0.039,,-10.408,0.004,0.004,0.004,0.004,0,-0.002,0.365,-0.004,-1.389,-0.001,-0.104
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,IA,IA4,5-10cm,1,333.333,840.333,2.521,2521,1.002,1002,1,295.602,68.048,81.139,0.371,12.859,352.471,-24.472,-23.472,1.079,0.003,0.352,0.081,0.887,0.204,886.805,204.143,295601.813,68047.564,295.602,68.048,11.438,0.37,10.787,56.624,-25.319,-24.319,1.078,0.847,0.011,0.011,0.011,0.011,0,0.003,0.61,0.005,1.794,0.002,0.006,,2.072,0.004,0.004,0.004,0.004,0,0.001,0.365,0.002,0.56,0.001,0.008
Bivalve,Mytilidae ,Dacrydium sp.,SSDF,,,,ST435,IA,IA4,0-5cm,1,333.333,20,0.06,60,0.06,60,1,3.588,0.547,1.64,0.725,986.866,10.765,269.819,270.819,1.4,0.003,0.179,0.027,0.011,0.002,10.765,1.64,3588.435,546.574,3.588,0.547,2.87,0.371,11.782,27.623,-10.804,-9.804,1.094,280.623,0.014,0.011,0.014,0.011,0.003,0.033,0.61,0.054,18.085,0.018,5.04,,975.084,0.007,0.004,0.007,0.004,0.004,0.006,0.365,0.016,5.31,0.005,9.714
Nematodes,Nematodes,Nematodes,P/S,,,,ST435,IA,IA4,0-5cm,2,666.667,0,0,0,,0,,0,0,,,,,,,,0.003,0.048,0.017,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Syllidae,,P/S,,,,ST435,IA,IA4,0-5cm,1,333.333,382.333,1.147,1147,1.147,1147,1,125.309,28.082,84.245,0.372,15.913,375.926,-22.728,-21.728,1.081,0.003,0.328,0.073,0.376,0.084,375.926,84.245,125308.769,28081.587,125.309,28.082,80.584,0.372,16.553,377.567,-24.878,-23.878,1.078,2.15,0.011,0.011,0.011,0.011,0,0.009,0.61,0.015,4.855,0.005,0.039,,-0.64,0.004,0.004,0.004,0.004,0,0,0.365,-0.001,-0.18,0,-0.006
Polychaeta,unidentified,unidentified,,,,,ST435,IA,IA4,5-10cm,,,658.333,1.975,1975,,0,,214.304,52.71,,,,,,,,0.003,0.326,0.08,0.643,0.158,642.911,158.129,214303.643,52709.639,214.304,52.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
